key	legacy_id	kind	owner	source	selector	target	fingerprint	program	interpreter	launched_by	runs_as	reads	writes	executes	network_hosts	verification	capabilities_needed	child_profile_recommendation	shape	launch_risk
archive:ca-certificates:post_install	A-NOOP-003	archive_noop	ca-certificates	packages/core/ca-certificates/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484	archive:ca-certificates/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:caddy:post_install	A098	archive_lifecycle	caddy	packages/extra/caddy/build.sh	post_install	archive:.scripts/post_install.sh	sha256:982ce56f8653682ff8956df52c2b2f4a721b239f5ecb90d6bf740f62813e004a	archive:caddy/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	sysusers fragment; AppArmor profile; named state/config paths	account databases; named ownership; running-kernel AppArmor policy	systemd-sysusers; chown; apparmor_parser	none	body SHA-256 982ce56f8653682ff8956df52c2b2f4a721b239f5ecb90d6bf740f62813e004a bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; root DAC; CAP_MAC_ADMIN	transitional Cx:archive-lifecycle/server-policy-sysusers; end state stable package-owned Px; never inherit pkm	server-policy-sysusers	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:catppuccin-gtk-theme:post_install	A-NOOP-004	archive_noop	catppuccin-gtk-theme	packages/desktop/catppuccin-gtk-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484	archive:catppuccin-gtk-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:celluloid:post_install	A099	archive_lifecycle	celluloid	packages/extra/celluloid/build.sh	post_install	archive:.scripts/post_install.sh	sha256:a471746062fa97b5df6a7515798a2f4148788a491507d28b038f936a4d654e26	archive:celluloid/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	schemas, icons and desktop entries	gschemas.compiled; icon-theme.cache; mimeinfo.cache	glib-compile-schemas; gtk-update-icon-cache; update-desktop-database	none	body SHA-256 a471746062fa97b5df6a7515798a2f4148788a491507d28b038f936a4d654e26 bound to base recipe; package archive/index trust precedes extraction	root application/icon/schema DAC	transitional Cx:archive-lifecycle/desktop-schema-icon; end state stable package-owned Px; never inherit pkm	desktop-schema-icon	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:colord:post_install	A029	archive_lifecycle	colord	packages/desktop/colord/build.sh	post_install	archive:.scripts/post_install.sh	sha256:15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c	archive:colord/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	body SHA-256 15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c bound to base recipe; package archive/index trust precedes extraction	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state stable package-owned Px; never inherit pkm	glib-schemas	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:cracklib:post_install	A005	archive_lifecycle	cracklib	packages/core/cracklib/build.sh	post_install	archive:.scripts/post_install.sh	sha256:6cab5abba7c3ff82ee23455c916c0abdf9894bce4f4dbb6fee42d03f0cb703bd	archive:cracklib/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	/usr/share/dict/words or hostname fallback	cracklib dictionary outputs; temporary word list	create-cracklib-dict; hostname; rm	none	body SHA-256 6cab5abba7c3ff82ee23455c916c0abdf9894bce4f4dbb6fee42d03f0cb703bd bound to base recipe; package archive/index trust precedes extraction	root library/state DAC	transitional Cx:archive-lifecycle/pkg-cracklib; end state stable package-owned Px; never inherit pkm	pkg-cracklib	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:cybernetic-icon-theme:post_install	A030	archive_lifecycle	cybernetic-icon-theme	packages/desktop/cybernetic-icon-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:324295ec94d45a61ab141c0a4257d9007799da942829df54e5bf2170bc59c184	archive:cybernetic-icon-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	one icon theme	icon-theme.cache	gtk-update-icon-cache	none	body SHA-256 324295ec94d45a61ab141c0a4257d9007799da942829df54e5bf2170bc59c184 bound to base recipe; package archive/index trust precedes extraction	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache; end state stable package-owned Px; never inherit pkm	icon-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:cyrus-sasl:post_install	A006	archive_lifecycle	cyrus-sasl	packages/core/cyrus-sasl/build.sh	post_install	archive:.scripts/post_install.sh	sha256:6c2f969d84c3450b14f0c6300a0248cfda02bf6740d48cf47210e6798106511f	archive:cyrus-sasl/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	named package paths	named state directories and modes	install	none	body SHA-256 6c2f969d84c3450b14f0c6300a0248cfda02bf6740d48cf47210e6798106511f bound to base recipe; package archive/index trust precedes extraction	root DAC and ownership setting	transitional Cx:archive-lifecycle/state-dir-install; end state stable package-owned Px; never inherit pkm	state-dir-install	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:dart-sass:post_install	A-NOOP-005	archive_noop	dart-sass	packages/desktop/dart-sass/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484	archive:dart-sass/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:dbus-pass2:post_install	A031	archive_lifecycle	dbus-pass2	packages/desktop/dbus-pass2/build.sh	post_install	archive:.scripts/post_install.sh	sha256:6d080d4e06e47a5454d1e018617380b3dca57f9cb5592256fb03a7a699f0bd2b	archive:dbus-pass2/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	sysusers fragment and named binary/state paths	account databases; ownership and privileged mode bits	systemd-sysusers; chown; chmod	none	body SHA-256 6d080d4e06e47a5454d1e018617380b3dca57f9cb5592256fb03a7a699f0bd2b bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/sysusers-permissions; end state stable package-owned Px; never inherit pkm	sysusers-permissions	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:dbus:post_install	A007	archive_lifecycle	dbus	packages/core/dbus/build.sh	post_install	archive:.scripts/post_install.sh	sha256:22a519a08734d8fb1467b0561275de7c034e82ebc2c8b0a392cfc03805d4894c	archive:dbus/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	sysusers fragment and named binary/state paths	account databases; ownership and privileged mode bits	systemd-sysusers; chown; chmod	none	body SHA-256 22a519a08734d8fb1467b0561275de7c034e82ebc2c8b0a392cfc03805d4894c bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/sysusers-permissions; end state stable package-owned Px; never inherit pkm	sysusers-permissions	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:dconf:post_install	A032	archive_lifecycle	dconf	packages/desktop/dconf/build.sh	post_install	archive:.scripts/post_install.sh	sha256:15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c	archive:dconf/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	GLib schema XML/overrides	gschemas.compiled	glib-compile-schemas	none	body SHA-256 15e51ad16915a694ff076f97ba82f4054e5a4eafaa40d2e368c1450594a1884c bound to base recipe; package archive/index trust precedes extraction	root schema-directory DAC	transitional Cx:archive-lifecycle/glib-schemas; end state stable package-owned Px; never inherit pkm	glib-schemas	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:docbook-xml:post_install	A008	archive_lifecycle	docbook-xml	packages/core/docbook-xml/build.sh	post_install	archive:.scripts/post_install.sh	sha256:1af9cad52b7e9b7447c15db0d2ed4bc4d83fac59624bbb00778c6d21b3ec0547	archive:docbook-xml/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	DocBook catalog XML	/usr/share/xml/docbook/xml-dtd-4.5/catalog.xml; /etc/xml/catalog	xmlcatalog	none	body SHA-256 1af9cad52b7e9b7447c15db0d2ed4bc4d83fac59624bbb00778c6d21b3ec0547 bound to base recipe; package archive/index trust precedes extraction	root /etc and shared-data DAC	transitional Cx:archive-lifecycle/pkg-docbook-xml; end state stable package-owned Px; never inherit pkm	pkg-docbook-xml	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:docbook-xsl-nons:post_install	A009	archive_lifecycle	docbook-xsl-nons	packages/core/docbook-xsl-nons/build.sh	post_install	archive:.scripts/post_install.sh	sha256:d8e75f9accb5036c5e01c2e610febdd3c3f162028beaf8b57881b4df83fc4f2d	archive:docbook-xsl-nons/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	XSL stylesheet tree and existing XML catalog	/etc/xml/catalog	xmlcatalog	none	body SHA-256 d8e75f9accb5036c5e01c2e610febdd3c3f162028beaf8b57881b4df83fc4f2d bound to base recipe; package archive/index trust precedes extraction	root /etc DAC	transitional Cx:archive-lifecycle/pkg-docbook-xsl-nons; end state stable package-owned Px; never inherit pkm	pkg-docbook-xsl-nons	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:docker:post_install	A100	archive_lifecycle	docker	packages/extra/docker/build.sh	post_install	archive:.scripts/post_install.sh	sha256:ad8f22842448b03a17bfdeb0281b8a1c0b58b0e44afdcdef5ceec256bb9f6086	archive:docker/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	one sysusers fragment	account databases	systemd-sysusers	none	body SHA-256 ad8f22842448b03a17bfdeb0281b8a1c0b58b0e44afdcdef5ceec256bb9f6086 bound to base recipe; package archive/index trust precedes extraction	root account-database DAC	transitional Cx:archive-lifecycle/sysusers-only; end state stable package-owned Px; never inherit pkm	sysusers-only	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:dracula-gtk-theme:post_install	A-NOOP-006	archive_noop	dracula-gtk-theme	packages/desktop/dracula-gtk-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484	archive:dracula-gtk-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:etcd:post_install	A101	archive_lifecycle	etcd	packages/extra/etcd/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e11e2aa8a19fdfda5d79463b75fc7b1bfdee7fe4124d0fcc90cc12019c80ca28	archive:etcd/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	sysusers fragment; AppArmor profile; named state/config paths	account databases; named ownership; running-kernel AppArmor policy	systemd-sysusers; chown; apparmor_parser	none	body SHA-256 e11e2aa8a19fdfda5d79463b75fc7b1bfdee7fe4124d0fcc90cc12019c80ca28 bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; root DAC; CAP_MAC_ADMIN	transitional Cx:archive-lifecycle/server-policy-sysusers; end state stable package-owned Px; never inherit pkm	server-policy-sysusers	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:exim:post_install	A003	archive_lifecycle	exim	packages/base/exim/build.sh	post_install	archive:.scripts/post_install.sh	sha256:6c3881cffc1e34bcdc385f8628d7be54be0f1ef2e3ca1dd9c3014f572ff4eb1f	archive:exim/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	/usr/lib/sysusers.d/exim.conf; exim binary and spool	account databases; /var/mail; exim spool ownership; setuid/setgid mode	systemd-sysusers; install; chown; chmod	none	body SHA-256 6c3881cffc1e34bcdc385f8628d7be54be0f1ef2e3ca1dd9c3014f572ff4eb1f bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-exim; end state stable package-owned Px; never inherit pkm	pkg-exim	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:fcron:post_install	A004	archive_lifecycle	fcron	packages/base/fcron/build.sh	post_install	archive:.scripts/post_install.sh	sha256:a0a235c36a4e63f4613f63ff55309def4093cb7f0c262b5001a1b1f87a72a391	archive:fcron/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	/usr/lib/sysusers.d/fcron.conf; binaries; auth/config files; spool	account databases; binary ownership/setid modes; auth/config ownership; spool	systemd-sysusers; chown; chmod	none	body SHA-256 a0a235c36a4e63f4613f63ff55309def4093cb7f0c262b5001a1b1f87a72a391 bound to base recipe; package archive/index trust precedes extraction	CAP_CHOWN; CAP_FOWNER; CAP_FSETID; root DAC	transitional Cx:archive-lifecycle/pkg-fcron; end state stable package-owned Px; never inherit pkm	pkg-fcron	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:fluent-gtk-theme:post_install	A-NOOP-007	archive_noop	fluent-gtk-theme	packages/desktop/fluent-gtk-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484	archive:fluent-gtk-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root today	none	none	none	none	exact body SHA-256 sha256:e1b31f81d4527a55ec0897dd72d8e270e64348ef8aeae13ebc7c520d605ff484; conservative no-op classifier with mutation controls	none	remove declarations or make hook sealing skip semantically empty bodies; no child execution authority	no-op-aggregate	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:fluent-icon-theme:post_install	A033	archive_lifecycle	fluent-icon-theme	packages/desktop/fluent-icon-theme/build.sh	post_install	archive:.scripts/post_install.sh	sha256:0a5f6ef32620bc1427fcf8d94a571daf9700c48f351388d82ee95b94a4ea0fb8	archive:fluent-icon-theme/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	multiple installed icon themes	each theme's icon-theme.cache	gtk-update-icon-cache	none	body SHA-256 0a5f6ef32620bc1427fcf8d94a571daf9700c48f351388d82ee95b94a4ea0fb8 bound to base recipe; package archive/index trust precedes extraction	root theme-directory DAC	transitional Cx:archive-lifecycle/icon-cache-multi; end state stable package-owned Px; never inherit pkm	icon-cache-multi	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:font-dejavu:post_install	A034	archive_lifecycle	font-dejavu	packages/desktop/font-dejavu/build.sh	post_install	archive:.scripts/post_install.sh	sha256:464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b	archive:font-dejavu/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	body SHA-256 464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b bound to base recipe; package archive/index trust precedes extraction	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state stable package-owned Px; never inherit pkm	font-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:font-inter:post_install	A035	archive_lifecycle	font-inter	packages/desktop/font-inter/build.sh	post_install	archive:.scripts/post_install.sh	sha256:f71dd7f660c67a333a290cfbfc8d9c672a1888f661f24ee225b14797f92bcbea	archive:font-inter/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	body SHA-256 f71dd7f660c67a333a290cfbfc8d9c672a1888f661f24ee225b14797f92bcbea bound to base recipe; package archive/index trust precedes extraction	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state stable package-owned Px; never inherit pkm	font-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:font-jetbrains-mono:post_install	A036	archive_lifecycle	font-jetbrains-mono	packages/desktop/font-jetbrains-mono/build.sh	post_install	archive:.scripts/post_install.sh	sha256:28102d52fb0146d87cd7255b5ae486123b6bed05b9c58db4f4e29f365cb490eb	archive:font-jetbrains-mono/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	body SHA-256 28102d52fb0146d87cd7255b5ae486123b6bed05b9c58db4f4e29f365cb490eb bound to base recipe; package archive/index trust precedes extraction	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state stable package-owned Px; never inherit pkm	font-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:font-noto-color-emoji:post_install	A037	archive_lifecycle	font-noto-color-emoji	packages/desktop/font-noto-color-emoji/build.sh	post_install	archive:.scripts/post_install.sh	sha256:464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b	archive:font-noto-color-emoji/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	body SHA-256 464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b bound to base recipe; package archive/index trust precedes extraction	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state stable package-owned Px; never inherit pkm	font-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
archive:font-noto:post_install	A038	archive_lifecycle	font-noto	packages/desktop/font-noto/build.sh	post_install	archive:.scripts/post_install.sh	sha256:464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b	archive:font-noto/.scripts/post_install.sh	/usr/bin/bash -e	pkm/hooks.py	root	installed fonts and fontconfig configuration	fontconfig caches	fc-cache	none	body SHA-256 464afeae63fa0f2ca24640c8714b60d6b377b8be650f5c3f568bdbfe6ad5232b bound to base recipe; package archive/index trust precedes extraction	root font-cache DAC	transitional Cx:archive-lifecycle/font-cache; end state stable package-owned Px; never inherit pkm	font-cache	pkm starts /usr/bin/bash -e; body children remain PATH-resolved unless explicitly absolute
